date,average_temp,average_wind,precipitation
2020-07-25,76.46000000000001,20,0
2020-07-26,79.34,39,0
2020-07-27,83.84,33,3
2020-07-28,85.64,34,0
2020-07-29,78.98,31,0
2020-07-30,77.72,31,0
2020-07-31,75.2,20,0
2020-08-01,76.46000000000001,26,0
2020-08-02,75.38,35,0
2020-08-03,80.78,45,0
2020-08-04,73.58000000000001,46,41
2020-08-05,77.0,42,0
2020-08-06,74.84,33,0
2020-08-07,71.06,22,0
2020-08-08,72.32,22,0
2020-08-09,74.66,28,0
2020-08-10,78.25999999999999,19,3
2020-08-11,78.08000000000001,28,0
2020-08-12,81.32,26,0
2020-08-13,78.44,18,0
2020-08-14,76.28,26,0
2020-08-15,70.34,30,0
2020-08-16,66.38,34,3
2020-08-17,67.64,31,0
2020-08-18,70.52,25,89
2020-08-19,68.36,22,0
2020-08-20,66.02,26,0
2020-08-21,70.88,30,43
2020-08-22,70.52,15,18
2020-08-23,69.25999999999999,16,5
2020-08-24,74.30000000000001,18,0
2020-08-25,75.92,34,28
2020-08-26,68.36,45,0
2020-08-27,59.900000000000006,21,0
2020-08-28,65.66,20,0
2020-08-29,63.14,17,325
2020-08-30,66.56,47,0
2020-08-31,62.06,26,0
2020-09-01,65.30000000000001,29,0
2020-09-02,64.75999999999999,29,28
2020-09-03,69.98,15,0
2020-09-04,71.6,30,0
2020-09-05,66.92,26,0
2020-09-06,66.92,19,0
2020-09-07,66.92,39,0
2020-09-08,69.98,28,0
2020-09-09,67.64,22,0
2020-09-10,70.88,21,20
2020-09-11,68.36,45,0
2020-09-12,58.64,21,0
2020-09-13,58.46,36,0
2020-09-14,68.72,48,0
2020-09-15,53.96,20,0
2020-09-16,59.36,38,0
2020-09-17,65.30000000000001,34,0
2020-09-18,59.72,47,0
2020-09-19,54.5,41,0
2020-09-20,51.44,29,0
2020-09-21,49.64,22,0
2020-09-22,52.519999999999996,49,0
2020-09-23,67.28,47,0
2020-09-24,67.28,19,0
2020-09-25,63.31999999999999,22,0
2020-09-26,58.64,19,0
2020-09-27,64.58000000000001,27,0
2020-09-28,66.92,35,13
2020-09-29,66.74000000000001,32,3
2020-09-30,69.44,57,109
2020-10-01,62.06,29,0
2020-10-02,55.22,17,13
2020-10-03,50.72,16,0
2020-10-04,50.36,17,0
2020-10-05,51.620000000000005,18,0
2020-10-06,54.32,38,0
2020-10-07,58.64,45,33
2020-10-08,53.96,64,0
2020-10-09,45.14,33,0
2020-10-10,59.72,43,0
2020-10-11,56.480000000000004,43,0
2020-10-12,43.52,32,0
2020-10-13,47.66,41,498
2020-10-14,55.22,22,0
2020-10-15,52.16,39,0
2020-10-16,59.18,36,71
2020-10-17,49.1,48,274
2020-10-18,42.620000000000005,16,0
2020-10-19,45.68,15,0
2020-10-20,53.42,19,3
2020-10-21,53.42,19,0
2020-10-22,54.86,14,0
2020-10-23,53.96,25,0
2020-10-24,56.66,34,0
2020-10-25,44.24,26,0
2020-10-26,40.46,23,41
2020-10-27,46.22,26,0
2020-10-28,40.28,25,23
2020-10-29,39.92,21,81
2020-10-30,35.24,46,0
2020-10-31,32.36,18,0
2020-11-01,39.56,22,150
2020-11-02,40.82,64,25
2020-11-03,34.52,47,0
2020-11-04,35.24,20,0
2020-11-05,43.879999999999995,23,0
2020-11-06,57.379999999999995,28,0
2020-11-07,62.78,21,0
2020-11-08,52.16,18,0
2020-11-09,48.92,9,0
2020-11-10,51.26,17,0
2020-11-11,59.36,32,0
2020-11-12,59.72,32,5
2020-11-13,40.46,33,15
2020-11-14,39.2,30,0
2020-11-15,35.78,42,66
2020-11-16,47.66,47,69
2020-11-17,40.28,38,0
2020-11-18,30.02,56,0
2020-11-19,24.439999999999998,25,0
2020-11-20,44.78,38,0
2020-11-21,51.08,33,0
2020-11-22,34.88,34,3
2020-11-23,43.7,44,589
2020-11-24,34.52,46,0
2020-11-25,26.24,19,3
2020-11-26,34.52,21,147
2020-11-27,40.46,12,0
2020-11-28,42.620000000000005,10,0
2020-11-29,38.84,21,0
2020-11-30,36.32,52,371
2020-12-01,55.22,67,61
2020-12-02,41.36,38,0
2020-12-03,36.14,34,0
2020-12-04,42.26,25,0
2020-12-05,36.86,63,505
2020-12-06,32.36,70,8
2020-12-07,29.12,31,0
2020-12-08,28.22,48,0
2020-12-09,26.24,12,0
2020-12-10,32.72,16,0
2020-12-11,33.26,11,0
2020-12-12,33.98,27,94
2020-12-13,36.68,20,3
2020-12-14,33.62,15,0
2020-12-15,28.759999999999998,66,0
2020-12-16,16.340000000000003,33,0
2020-12-17,16.340000000000003,74,356
2020-12-18,22.46,45,0
2020-12-19,16.88,12,0
2020-12-20,23.9,6,20
2020-12-21,28.04,13,0
2020-12-22,34.34,32,0
2020-12-23,30.92,23,0
2020-12-24,34.7,36,8
2020-12-25,50.72,78,267
2020-12-26,38.66,55,0
2020-12-27,30.38,28,0
2020-12-28,32.36,27,3
2020-12-29,33.26,57,0
2020-12-30,23.72,31,0
2020-12-31,38.12,35,3
2021-01-01,26.6,11,5
2021-01-02,32.36,42,155
2021-01-03,28.58,29,0
2021-01-04,29.66,43,0
2021-01-05,29.66,51,8
2021-01-06,31.64,39,0
2021-01-07,34.88,47,0
2021-01-08,29.3,35,0
2021-01-09,27.86,44,0
2021-01-10,31.28,28,0
2021-01-11,26.42,10,0
2021-01-12,29.84,13,0
2021-01-13,33.26,14,0
2021-01-14,34.16,14,0
2021-01-15,35.24,26,5
2021-01-16,40.64,61,358
2021-01-17,38.3,65,0
2021-01-18,36.32,45,0
2021-01-19,26.42,12,0
2021-01-20,27.32,26,0
2021-01-21,20.84,15,0
2021-01-22,28.4,16,8
2021-01-23,25.52,53,0
2021-01-24,19.4,69,0
2021-01-25,23.18,48,0
2021-01-26,25.52,22,8
2021-01-27,29.48,32,28
