name, latitude, longitude
Sprague Operating Resources, 43.637210, -70.286400
Portland Pipe Line Corporation, 43.629500, -70.271290
South Portland Terminal, 43.635930, -70.285290
Gulf Oil Limited Partnership, 43.650240, -70.239670
Global Companies LLC, 43.650240, -70.239670
Citgo Petroleum Corporation, 43.650240, -70.239670
