43.6291,-70.2943,4,Petroleum,,,1018,04106,1577896764,Wed Jan  1 11:39:24 2020,01/01/20,0.6863461977335024,1.1523205752348444,0.6531678862725351,3.1009438765246946,0.6156676266464673,1.458026905337087
43.6567,-70.2736,3,jet fuel emissions or the S. Portland petro facility,,,667,04102,1578977739,Mon Jan 13 23:55:39 2020,01/13/20,1.4925544948358997,1.8849028183598409,1.551183453507352,1.7558167196973393,1.634254769422702,1.3979648309989219
43.6264,-70.2946,3,Petroleum ,Headache ,,1018,04106,1579109363,Wed Jan 15 12:29:23 2020,01/15/20,0.8529805539963942,1.186568094612235,0.8073021030167152,3.206175324446873,0.7524509045680654,1.5511115110501208
43.6325,-70.2597,4,"Pungent, oil",,,1018,04106,1579561694,Mon Jan 20 18:08:14 2020,01/20/20,1.3757327401902142,0.6162205966611966,1.302833522154298,1.5845494345573778,1.2450428794364843,0.49206543898928745
43.6296,-70.2622,3,,,,1018,04106,1582473259,Sun Feb 23 10:54:19 2020,02/23/20,1.32088949761958,0.45513865042423474,1.2360670762691681,1.8193193691623881,1.1615530278646247,0.5726062481426168
43.6357,-70.2855,4,Petroleum smell,,,1018,04106,1582636749,Tue Feb 25 08:19:09 2020,02/25/20,0.11374558132597473,0.8306404575208883,0.019068090778150065,2.504714094658946,0.10406910953180258,0.9154086490921831
43.6322,-70.2638,4,Industrial petroleum tanks,"Sore throat, dizziness ",,1018,04106,1582998784,Sat Feb 29 12:53:04 2020,02/29/20,1.1832403895103527,0.4189062087494771,1.1063078269733864,1.7366020425814774,1.0440167520204444,0.3760207297169906
43.6339,-70.2869,4,Petroleum,,,1018,04106,1583099369,Sun Mar  1 16:49:29 2020,03/01/20,0.230308240500808,0.8386473691115696,0.16189729523511276,2.6203217078465175,0.1285831236803548,1.0043094525136373
43.6334,-70.2879,3,Petroleum,,,1018,04106,1583113177,Sun Mar  1 20:39:37 2020,03/01/20,0.27401703735443556,0.8742042828409753,0.21838962544813564,2.680423331522018,0.18723208583893508,1.0608679180834937
43.65,-70.2702,3,Hot asphalt,Very unpleasant ,,667,04102,1583157477,Mon Mar  2 08:57:57 2020,03/02/20,1.2000387425166148,1.418981011650514,1.231898615759396,1.5280354250055976,1.2923228727299976,0.9101783320899278
43.6351,-70.2447,5,Burnt tar,"Sore throat, tight chest ",,1018,04106,1583208990,Mon Mar  2 23:16:30 2020,03/02/20,2.0925547430736167,1.386362125036696,2.0327262288931065,1.07703478599568,1.989461893515019,1.1391631822658803
43.6335,-70.2442,5,Burning gas,"Tightness in chest, headache, tightness in throat",,1018,04106,1583209082,Mon Mar  2 23:18:02 2020,03/02/20,2.1280452340674874,1.3841357239850474,2.063827938033233,1.1798553056518146,2.0149295784031236,1.1817227108775357
43.6395,-70.2339,3,Oil,,,1018,04106,1583237350,Tue Mar  3 07:09:10 2020,03/03/20,2.632768855149587,1.9954662515379389,2.584287822062033,0.7970208913548232,2.5538296788451085,1.6809150798298254
43.643,-70.2395,4,Smell of burning rubber ,Throat congestion ,,1018,04106,1583240095,Tue Mar  3 07:54:55 2020,03/03/20,2.3815254530675096,1.8450943466255532,2.3436591104973767,0.5008442407646904,2.326210806207013,1.4520821572037763
43.6331,-70.2861,5,Petroleum,,,1018,04106,1583456134,Thu Mar  5 19:55:34 2020,03/05/20,0.2846744270932927,0.7821289240028437,0.1998995263223638,2.608940532849582,0.12328547509265682,0.9790496603221288
43.6424,-70.2382,4,Smells like burning diesel fuel; acrid; permeates my house,Throat and eyes,,1018,04106,1583491972,Fri Mar  6 05:52:52 2020,03/06/20,2.4392555336895656,1.8814826548161265,2.399263721028285,0.5472408275668273,2.379214528517858,1.5037450904626208
43.6347,-70.2882,3,Petroleum,,,1018,04106,1583498973,Fri Mar  6 07:49:33 2020,03/06/20,0.1956007781681869,0.9197919076258012,0.16869712398822884,2.656291780554965,0.1897903115033211,1.0582087637024644
43.6328,-70.2821,3,Petroleum,Nose irritation,,1018,04106,1583534035,Fri Mar  6 17:33:55 2020,03/06/20,0.3733337692078323,0.5873480649550024,0.26901942780570054,2.4424761868859264,0.16126494459066243,0.7958938203946351
43.6328,-70.245,5,Burning tires,"Headache, sore throat, irritated eyes",,1018,04106,1583640319,Sat Mar  7 23:05:19 2020,03/07/20,2.0948079694056747,1.3358055263881994,2.0285218722551597,1.2354299768693138,1.9770478137158038,1.1538200679499597
43.6344,-70.2447,5,Burnt tar,"Sore throat, nausea ",,1018,04106,1583640371,Sat Mar  7 23:06:11 2020,03/07/20,2.096500095578833,1.3736292220004853,2.034681153190687,1.1241678203637262,1.98890106740936,1.1457914101518565
43.6339,-70.2468,5,Burnt tar,"Sore throat, nausea ",,1018,04106,1583647309,Sun Mar  8 01:01:49 2020,03/08/20,1.9955318477964241,1.2632430282634022,1.9319188355309773,1.1852040058263467,1.884112130410292,1.0486565117348996
43.6322,-70.2849,3,Oil,Nose and lung irritating,,1018,04106,1583793892,Mon Mar  9 18:44:52 2020,03/09/20,0.3545711019387904,0.7064924198135663,0.25873206642853913,2.5850617260712343,0.1546601690401504,0.9416174231076597
43.6348,-70.2874,4,Hydrogen sulfide from oil tanks,,,1018,04106,1583799438,Mon Mar  9 20:17:18 2020,03/09/20,0.17404774344588717,0.8859089086591175,0.13139889132085286,2.6168915621067845,0.15110628749948907,1.0175756942346093
43.6342,-70.2859,4,Petroleum smell,,,1018,04106,1583802930,Mon Mar  9 21:15:30 2020,03/09/20,0.20969305285588774,0.800404809561969,0.12349454587429888,2.5662094066662506,0.07500875916674263,0.9510135638456725
