,date,sprague_miles,portland_pipeline_miles,south_portland_terminal_miles,gulf_oil_miles,global_miles,citgo_miles,daily complaints,average_temp,average_wind,precipitation,WDF5,WSF5,wind_direction,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW
17,2020-03-14,0.1257768372049694,0.8093065283209632,0.0215366509223863,2.481813782501657,0.0936774496941178,0.8905054112861509,3,44.6,61,0,320,157,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-15,0.3014967929564855,0.7492594746144507,0.2098407209445076,2.588607424112887,0.1173777629484339,0.9542477715837274,3,39.02,51,0,10,103,N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-16,0.224915212195171,0.7459070811388101,0.1232507911849718,2.512182301811402,0.0198412063806376,0.8922936374568964,1,27.32,33,0,150,85,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-26,1.989811791521916,1.233648873323819,1.9232604544473304,1.2557005697151038,1.87169552223274,1.0505365626407328,3,40.28,32,0,30,89,NNE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-27,0.1060158091108476,0.9364909049220546,0.1207396276281216,2.5979970655556444,0.1972078802928464,1.02342929089839,2,45.68,50,0,340,165,NNW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-30,0.5886962204330823,0.3847303035776994,0.5093473708570907,2.104599245342828,0.4522797511755761,0.4494913592242152,1,37.94,50,43,50,112,NE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-31,0.3847191498538174,0.5821125666702414,0.2802724327694255,2.449340805784406,0.1711104041607894,0.8010584997120627,2,37.04,44,0,30,121,NNE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-01,0.4079281896702244,0.6988415750364095,0.3136644685775734,2.6165727999930923,0.2101402929086996,0.9671460292836476,1,37.58,47,8,10,107,N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-02,0.588688424719241,0.6022711172809612,0.4895734416216995,2.6320951921555324,0.3784476541821658,0.9737612038967328,2,42.26,61,300,360,148,N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-03,0.3422009369687162,0.7054722080830097,0.2453900181925326,2.5740156822948386,0.1402549360508156,0.93211306697217,1,45.68,77,119,10,157,N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
